Dimension,points,sampling_method,relative_error_average
2,500,Sobol,0.01714069807862902
2,10000,Rand,0.013566074385582196
2,2000,Sobol,0.007701773296475976
2,100000,Rand,0.00614934667633692
4,500,Sobol,0.01873541786411564
4,10000,Rand,0.018462024799763686
4,4000,Sobol,0.008075762857252823
4,100000,Rand,0.008985899026812162
8,2000,Sobol,0.0116073373978684
8,10000,Rand,0.011550613023065306
8,10000,Sobol,0.00813946591273367
8,100000,Rand,0.008667940101758405
16,1000,Sobol,0.010472215978590708
16,10000,Rand,0.011382853965643997
16,5000,Sobol,0.006862960634114892
16,100000,Rand,0.007993191805099454
